5.12381X ;-3.88484X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;0.999999x ;3x ;5,88116e-13; x ;1x ;33x ;1x ;2.99999x ;9,67216e-11; x ;1x ;109x ;109x 
5.55907X ;-4.65342X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;0.999999x ;3x ;6,55863e-13; x ;1x ;33x ;1x ;2.99999x ;9,28648e-11; x ;1x ;110x ;110x 
4.40694X ;1.16032X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;4,12926e-13; x ;1x ;53x ;1.00001x ;3x ;9,08194e-11; x ;1x ;104x ;104x 
9.35215X ;-7.02857X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;4,10458e-13; x ;1x ;44x ;1.00001x ;2.99999x ;6,6553e-11; x ;1x ;113x ;113x 
-5.53253X ;3.10625X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;nanx ;nanx ;nan; x ;1x ;10001x ;0.999993x ;3x ;2,73584e-10; x ;1x ;108x ;108x 
9.46284X ;2.00625X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;0.999999x ;3x ;7,43875e-13; x ;1x ;47x ;1.00001x ;3x ;2,3343e-10; x ;1x ;110x ;110x 
-1.45383X ;-4.87114X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;6,51092e-13; x ;1x ;38x ;0.999998x ;2.99999x ;5,03886e-10; x ;1x ;109x ;109x 
-7.94327X ;2.68843X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;0.999999x ;3x ;8,81751e-13; x ;1x ;36x ;0.999992x ;3x ;3,33612e-10; x ;1x ;110x ;110x 
7.01946X ;6.08327X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;5,09646e-13; x ;1x ;37x ;1.00001x ;3x ;4,9641e-10; x ;1x ;108x ;108x 
4.6177X ;-2.07009X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;4,31375e-13; x ;1x ;31x ;1x ;2.99999x ;8,02708e-11; x ;1x ;107x ;107x 
-3.56315X ;-9.60338X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;3,33491e-13; x ;1x ;39x ;0.999997x ;2.99999x ;4,97914e-10; x ;1x ;113x ;113x 
-9.38791X ;9.55057X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;nanx ;nanx ;nan; x ;1x ;10001x ;0.999994x ;3x ;7,687e-11; x ;1x ;113x ;113x 
3.60881X ;8.06521X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;3,3288e-13; x ;1x ;37x ;1x ;3.00001x ;4,55513e-10; x ;1x ;107x ;107x 
6.26824X ;6.64471X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;3,20821e-13; x ;1x ;34x ;1.00001x ;3x ;4,72221e-10; x ;1x ;108x ;108x 
-3.24079X ;1.03692X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;0.999999x ;3x ;5,51631e-13; x ;1x ;37x ;0.999993x ;3x ;4,98184e-10; x ;1x ;105x ;105x 
-1.80931X ;-3.48878X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;6,07662e-13; x ;1x ;37x ;0.999997x ;2.99999x ;5,20934e-10; x ;1x ;108x ;108x 
-9.00222X ;-5.08074X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;nanx ;nanx ;nan; x ;1x ;10001x ;0.999994x ;3x ;5,40026e-10; x ;1x ;113x ;113x 
0.880625X ;-9.56781X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;3,46044e-13; x ;1x ;37x ;1x ;2.99999x ;2,93898e-10; x ;1x ;113x ;113x 
-0.0195285X ;-7.24843X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;1,09497e-12; x ;1x ;36x ;0.999999x ;2.99999x ;3,75242e-10; x ;1x ;111x ;111x 
-4.62668X ;-8.48764X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;7,79316e-13; x ;1x ;38x ;0.999997x ;2.99999x ;4,8941e-10; x ;1x ;113x ;113x 
-5.58441X ;-4.29518X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;3,80494e-13; x ;1x ;33x ;0.999995x ;2.99999x ;5,30006e-10; x ;1x ;111x ;111x 
-3.50478X ;-6.7533X ;-nan(ind)x ;-nan(ind)x ;-nan(ind); x ;1x ;10001x ;1x ;3x ;7,18667e-13; x ;1x ;38x ;0.999997x ;2.99999x ;4,39519e-10; x ;1x ;112x ;112x 
